id,titulo
0,Fraldas geriátricas para adulto grátis
1,Doação de sangue AB
2,Cloro previne a dengue
3,Recurso para cirurgias eletivas
4,Cura do câncer
5,Doação de cadeiras de rodas
6,OMS reclassifica conceito de jovem/idoso
7,Ondas radioativas do microondas causam danos à saúde
8,Vazamento de dados do DATASUS
9,Alimentos e a cura do câncer
10,Barras em embalagens indicam que o leite está vencido
11,Furar dedos com agulha ajuda a salvar pessoa com AVC
12,Repelente de insetos causa reação química
13,Ar condicionado e o benzeno
14,Equinócio e altas temperaturas
15,Planta caseira causa morte de criança de 5 anos
16,Mamografia causa câncer de tireoide
17,Tratamento de queimaduras com farinha de trigo
18,Aftas são a causa do câncer
19,Doação de caixa de medicamento quimioterápico para leucemia
20,Falta de pacientes para transplante de córneas em Sorocaba
21,Limão no copo mata
22,Onda de calor - sensação térmica de 55ºC
23,Aids e bananas mutamba e roupas brancas
24,Paracetamol aumenta riscos de autismo ou TDAH nas crianças
25,Uso de celular na cozinha e acidentes
26,Exercício com a língua previne Alzheimer
27,Dia D de vacinação contra sarampo em 16/02
28,Cientistas israelenses e a cura do câncer
29,10 razões pelas quais não deveria vacinar seu filho
30,COFEN proíbe registro de diplomas de cursos EAD
31,Cirurgia de lábio leporino no Hospital Militar de Curitiba
32,Fevereiro mais quente da história
33,Frutas e a cura do câncer
34,Fechamento do Hospital do Homem/SP
35,Gelo causa câncer
36,Câncer é deficiência da vitamina B17
37,Cura do câncer por médico militar
38,Estudo associa Omeprazol com tumores no estômago
39,Novas regras para consulta médica
40,Nova gripe fatal e chá de erva doce
41,Vacina faz mal
42,Epidemia de aranhas marrom
43,Vagas com entrevista marcada na UPA
44,Cadastro no Brasil Sorridente
45,Água gelada faz mal
46,Óleo no umbigo cura doenças
47,Quiabo cura diabetes
48,Guardar cebola cortada é altamente perigoso
49,Refrigerantes falta de atividade renal e tumores
50,Água quente de coco e cura do câncer
51,Cura do câncer por alimentos milagrosos
52,Besouros que causam cegueira 
53,Limonada quente cura o câncer
54,Contrato emergencial do SAMU sem experiência
55,Paracetamol e vírus Machupo 
56,Chá de folhas de graviola cura o câncer 
57,Hospital Mário Kroeff e mamografia 
58,Vacinas causam autismo 
59,Beber água antes de pintar o cabelo
60,Uso do celular no escuro e câncer de olho 
61,Cura do diabetes com cápsula natural 
62,Peste Negra ameaça voltar à Paraíba 
63,Vacinas obrigatórias 
64,Coletes de agentes endêmicos de controle da dengue roubados 
65,Vacina anticâncer 
66,Bananas com vírus HIV 
67,Efeitos da glândula da próstata 
68,Bactérias nos feijões 
69,Novo dipirona importado da Venezuela contém vírus 
70,Jovem SUS 
71,Japão: vacina contra o HPV sob julgamento devido a horríveis efeitos colaterais 
72,MPF proíbe vacina contra HPV 
